Rank,No.,Name,Eff.,Fast,Spacial,Max DPS,Eff. HP,Max Damage,F&S Combo Dmg,Special% of Combo,Fast DPS,Special DPS,,
319,62,Magmar,74%,Karate Chop,Fire Blast,8.18,116,95,95,42%,5.7,12,,
233,43,Kingler,87%,Metal Claw,X Scissor,11.81,104,123,94,54%,11.8,7.2,,
258,64,Tauros,95%,Zen Headbutt,Horn Attack,7.41,153,113,94,60%,7.4,4.9,,
320,34,Magneton,98%,Thunder Shock,Flash Cannon,9.3,102,94,94,19%,7,10.1,,
321,54,Kangaskhan,73%,Mud Slap,Stomp,4.56,206,94,94,21%,2.3,6.1,,
324,5,Beedrill,100%,Bug Bite,Sludge Bomb,9.67,97,94,94,36%,8.8,10.2,,
325,56,Seaking,75%,Peck,Megahorn,6.5,144,93,93,53%,5.3,8.9,,
326,51,Rhydon,77%,Mud Slap,Megahorn,4.99,187,93,93,46%,3.3,8.6,,
327,5,Beedrill,99%,Poison Jab,Sludge Bomb,9.59,97,93,93,50%,9,10.2,,
328,9,Arbok,89%,Acid,Sludge Wave,8.27,112,93,93,58%,7,11.1,,
150,17,Golbat,100%,Wing Attack,Air Cutter,11.49,138,158,92,40%,11.5,5.2,,
168,22,Persian,100%,Scratch,Power Gem,13.83,108,149,92,45%,13.8,6.4,,
270,60,Jynx,100%,Frost Breath,Ice Punch,11.12,100,111,92,35%,11.1,8.4,,
296,6,Pidgeot,56%,Steel Wing,Aerial Ace,6.65,154,102,92,47%,6.7,5.5,,
329,60,Jynx,83%,Pound,Psyshock,9.28,100,92,92,29%,9.1,9.4,,
330,40,Gengar,59%,Sucker Punch,Shadow Ball,8.7,106,92,92,36%,7.2,9.9,,
293,74,Aerodactyl,77%,Steel Wing,Ancient Power,7.09,145,103,91,43%,7.1,5.8,,
297,6,Pidgeot,56%,Steel Wing,Air Cutter,6.65,154,102,91,45%,6.7,5.4,,
331,44,Electrode,95%,Spark,Discharge,7.8,117,91,91,44%,6.8,8.8,,
332,57,Starmie,42%,Quick Attack,Hydro Pump,7.07,128,91,91,50%,5.1,11.7,,
333,44,Electrode,95%,Tackle,Thunderbolt,7.74,117,91,91,42%,5.8,10.3,,
334,32,Rapidash,76%,Low Kick,Drill Run,7.29,124,90,90,23%,6,7.8,,
335,56,Seaking,73%,Peck,Drill Run,6.29,144,90,90,26%,5.3,6.8,,
257,74,Aerodactyl,85%,Bite,Ancient Power,7.84,145,114,89,20%,7.8,5.8,,
273,64,Tauros,92%,Tackle,Horn Attack,7.13,153,109,89,50%,7.1,4.9,,
87,27,Alakazam,100%,Psycho Cut,Dazzling Gleam,21.1,95,200,88,47%,21.1,6.2,,
177,11,Sandslash,70%,Metal Claw,Bulldoze,10.09,144,145,88,34%,10.1,5.1,,
340,19,Parasect,78%,Fury Cutter,X Scissor,7.68,115,88,88,18%,5.9,8.2,,
341,19,Parasect,78%,Fury Cutter,Solar Beam,7.67,115,88,88,25%,5.9,8.5,,
350,44,Electrode,90%,Tackle,Discharge,7.41,117,87,87,36%,5.8,8.8,,
351,58,Mr. Mime,100%,Zen Headbutt,Psychic,9.83,88,87,87,63%,9.6,10.2,,
264,19,Parasect,100%,Bug Bite,Cross Poison,9.82,115,112,86,45%,9.8,6.3,,
349,71,Porygon,100%,Tackle,Discharge,7.48,116,87,86,45%,7.5,7.3,,
352,51,Rhydon,72%,Rock Smash,Earthquake,4.62,187,86,86,31%,2.2,9.2,,
355,27,Alakazam,43%,Confusion,Psychic,9.04,95,86,86,39%,6.4,12.2,,
356,39,Cloyster,62%,Ice Shard,Hydro Pump,7.78,110,86,86,55%,6.1,11.8,,
337,60,Jynx,81%,Pound,Ice Punch,9.05,100,90,85,24%,9.1,8.4,,
357,57,Starmie,39%,Quick Attack,Power Gem,6.63,128,85,85,35%,5.1,7.9,,
358,39,Cloyster,62%,Ice Shard,Blizzard,7.73,110,85,85,55%,6.1,11.6,,
134,65,Gyarados,85%,Dragon Breath,Twister,8.23,205,169,84,37%,8.2,3.2,,
136,65,Gyarados,85%,Bite,Twister,8.23,205,169,84,37%,8.2,3.2,,
312,59,Scyther,83%,Steel Wing,Night Slash,6.87,140,96,84,51%,6.9,5.3,,
361,55,Seadra,58%,Dragon Breath,Hydro Pump,9.02,93,84,84,46%,7.6,10.7,,
81,11,Sandslash,100%,Mud Shot,Rock Tomb,14.44,144,208,83,48%,14.4,3.7,,
363,57,Starmie,38%,Quick Attack,Psybeam,6.36,128,82,82,23%,5.1,6.9,,
151,17,Golbat,100%,Wing Attack,Ominous Wind,11.49,138,158,81,49%,11.5,4,,
364,73,Kabutops,44%,Fury Cutter,Water Pulse,6.41,127,81,81,9%,5.4,6.5,,
365,20,Venomoth,65%,Confusion,Psychic,6.71,121,81,81,39%,4.8,9.1,,
367,40,Gengar,52%,Sucker Punch,Dark Pulse,7.64,106,81,81,37%,7.2,7.9,,
345,4,Butterfree,100%,Bug Bite,Psychic,8.85,98,87,80,42%,8.8,7.7,,
193,43,Kingler,100%,Mud Shot,Water Pulse,13.53,104,140,79,35%,13.5,6.1,,
343,5,Beedrill,93%,Poison Jab,X Scissor,9.03,97,87,79,51%,9,7.4,,
371,44,Electrode,83%,Spark,Hyper Beam,6.8,117,80,79,65%,6.8,6.7,,
372,20,Venomoth,63%,Confusion,Bug Buzz,6.52,121,79,79,32%,4.8,7.9,,
149,17,Golbat,100%,Wing Attack,Poison Fang,11.49,138,158,78,50%,11.5,3.8,,
323,37,Dewgong,49%,Ice Shard,Aqua Jet,4.94,190,94,78,42%,4.9,3.7,,
374,54,Kangaskhan,60%,Mud Slap,Earthquake,3.78,206,78,78,40%,2.3,6.4,,
307,17,Golbat,62%,Bite,Air Cutter,7.15,138,98,77,23%,7.1,5.2,,
375,24,Primeape,69%,Low Kick,Low Sweep,7,110,77,77,28%,6.8,7.1,,
376,22,Persian,52%,Feint Attack,Play Rough,7.16,108,77,77,46%,6.3,8,,
234,43,Kingler,87%,Metal Claw,Water Pulse,11.81,104,123,76,34%,11.8,6.1,,
339,59,Scyther,77%,Fury Cutter,Night Slash,6.34,140,89,76,16%,6.3,5.3,,
354,5,Beedrill,92%,Bug Bite,X Scissor,8.85,97,86,76,37%,8.8,7.4,,
377,73,Kabutops,41%,Fury Cutter,Ancient Power,5.99,127,76,76,9%,5.4,6.1,,
366,9,Arbok,78%,Bite,Dark Pulse,7.22,112,81,75,26%,7.2,6.5,,
373,9,Arbok,75%,Acid,Dark Pulse,6.97,112,78,75,37%,7,6.5,,
379,51,Rhydon,63%,Rock Smash,Megahorn,4.03,187,75,75,38%,2.2,8.6,,
380,36,Dodrio,100%,Feint Attack,Drill Peck,7.39,102,75,75,40%,7.3,7.5,,
381,63,Pinsir,64%,Rock Smash,X Scissor,5.56,135,75,75,23%,2.4,9.3,,
385,24,Primeape,66%,Karate Chop,Low Sweep,6.74,110,74,74,29%,6,7.1,,
386,55,Seadra,52%,Dragon Breath,Blizzard,7.95,93,74,74,51%,7.6,8.3,,
387,36,Dodrio,98%,Steel Wing,Drill Peck,7.27,102,74,74,49%,7.1,7.5,,
388,7,Raticate,100%,Bite,Hyper Fang,7.87,93,74,74,30%,6.4,8.7,,
176,11,Sandslash,70%,Metal Claw,Rock Tomb,10.09,144,145,73,41%,10.1,3.7,,
389,71,Porygon,85%,Quick Attack,Discharge,6.34,116,73,73,38%,5.2,7.3,,
167,22,Persian,100%,Scratch,Night Slash,13.83,108,149,72,44%,13.8,4.7,,
392,48,Hitmonchan,100%,Bullet Punch,Brick Break,6.32,114,72,72,39%,4.1,9.6,,
393,44,Electrode,75%,Tackle,Hyper Beam,6.13,117,72,72,57%,5.8,6.7,,
344,4,Butterfree,100%,Bug Bite,Bug Buzz,8.85,98,87,71,34%,8.8,6.7,,
348,71,Porygon,100%,Tackle,Signal Beam,7.48,116,87,71,47%,7.5,5.3,,
362,34,Magneton,87%,Spark,Magnet Bomb,8.26,102,84,71,45%,8.3,6.2,,
396,19,Parasect,63%,Fury Cutter,Cross Poison,6.21,115,71,71,22%,5.9,6.3,,
397,8,Fearow,100%,Steel Wing,Drill Run,6.6,108,71,71,46%,6.6,6.6,,
400,8,Fearow,99%,Peck,Drill Run,6.56,108,71,71,29%,6.4,6.6,,
93,37,Dewgong,100%,Frost Breath,Icy Wind,10.16,190,193,70,45%,10.2,2.4,,
370,21,Dugtrio,100%,Mud Shot,Stone Edge,14.26,57,81,70,69%,14.3,9.7,,
395,55,Seadra,49%,Dragon Breath,Dragon Pulse,7.61,93,71,70,35%,7.6,7.5,,
401,47,Hitmonlee,100%,Low Kick,Stone Edge,7.2,97,70,70,50%,5.8,9.7,,
360,58,Mr. Mime,98%,Zen Headbutt,Shadow Ball,9.61,88,85,69,62%,9.6,6,,
404,22,Persian,46%,Feint Attack,Power Gem,6.4,108,69,69,38%,6.3,6.4,,
405,7,Raticate,93%,Bite,Hyper Beam,7.35,93,69,69,41%,6.4,8.1,,
346,4,Butterfree,100%,Bug Bite,Signal Beam,8.85,98,87,67,32%,8.8,6.2,,
368,21,Dugtrio,100%,Mud Shot,Earthquake,14.26,57,81,65,66%,14.3,8.3,,
390,36,Dodrio,96%,Steel Wing,Aerial Ace,7.09,102,72,65,47%,7.1,5.9,,
394,34,Magneton,74%,Thunder Shock,Magnet Bomb,7.03,102,71,65,28%,7,6.2,,
409,27,Alakazam,33%,Confusion,Shadow Ball,6.9,95,65,65,37%,6.4,7.2,,
410,58,Mr. Mime,75%,Confusion,Psychic,7.32,88,65,65,44%,5.4,10.2,,
308,17,Golbat,62%,Bite,Ominous Wind,7.15,138,98,64,30%,7.1,4,,
383,36,Dodrio,99%,Feint Attack,Aerial Ace,7.3,102,74,64,34%,7.3,5.9,,
391,36,Dodrio,96%,Steel Wing,Air Cutter,7.09,102,72,64,45%,7.1,5.8,,
398,8,Fearow,100%,Steel Wing,Aerial Ace,6.58,108,71,64,48%,6.6,5.4,,
411,7,Raticate,86%,Quick Attack,Hyper Fang,6.8,93,64,64,36%,4.9,8.7,,
382,24,Primeape,66%,Low Kick,Night Slash,6.76,110,75,63,29%,6.8,5.4,,
384,36,Dodrio,99%,Feint Attack,Air Cutter,7.3,102,74,63,30%,7.3,5.8,,
412,63,Pinsir,54%,Rock Smash,Submission,4.7,135,63,63,27%,2.4,7.4,,
191,43,Kingler,100%,Mud Shot,Vice Grip,13.53,104,140,62,54%,13.5,3.6,,
416,48,Hitmonchan,86%,Bullet Punch,Thunder Punch,5.42,114,62,62,38%,4.1,6.7,,
417,46,Marowak,100%,Mud Slap,Earthquake,4.59,134,62,62,41%,2.9,7.9,,
223,20,Venomoth,100%,Bug Bite,Poison Fang,10.36,121,125,61,35%,10.4,4,,
306,17,Golbat,62%,Bite,Poison Fang,7.15,138,98,61,31%,7.1,3.8,,
359,58,Mr. Mime,98%,Zen Headbutt,Psybeam,9.61,88,85,61,49%,9.6,5.5,,
402,8,Fearow,98%,Peck,Aerial Ace,6.43,108,69,61,28%,6.4,5.4,,
408,24,Primeape,59%,Karate Chop,Night Slash,6.01,110,66,61,30%,6,5.4,,
418,71,Porygon,71%,Quick Attack,Signal Beam,5.28,116,61,61,39%,5.2,5.3,,
232,43,Kingler,87%,Metal Claw,Vice Grip,11.81,104,123,60,53%,11.8,3.6,,
347,71,Porygon,100%,Tackle,Psybeam,7.48,116,87,60,33%,7.5,4.5,,
422,46,Marowak,97%,Mud Slap,Bone Club,4.45,134,60,60,32%,2.9,6,,
419,27,Alakazam,30%,Confusion,Dazzling Gleam,6.41,95,61,59,32%,6.4,6.2,,
423,48,Hitmonchan,81%,Rock Smash,Brick Break,5.12,114,58,58,28%,2.3,9.6,,
424,7,Raticate,79%,Quick Attack,Hyper Beam,6.2,93,58,58,47%,4.9,8.1,,
322,37,Dewgong,49%,Ice Shard,Icy Wind,4.94,190,94,57,36%,4.9,2.4,,
426,47,Hitmonlee,82%,Low Kick,Low Sweep,5.9,97,57,57,30%,5.8,6,,
338,63,Pinsir,76%,Fury Cutter,Vice Grip,6.58,135,89,56,21%,6.6,3.8,,
406,22,Persian,46%,Feint Attack,Night Slash,6.33,108,68,56,37%,6.3,4.7,,
427,4,Butterfree,65%,Confusion,Psychic,5.74,98,56,56,38%,4.1,7.7,,
428,48,Hitmonchan,78%,Bullet Punch,Ice Punch,4.94,114,56,56,34%,4.1,5.5,,
430,4,Butterfree,63%,Confusion,Bug Buzz,5.55,98,55,55,31%,4.1,6.7,,
431,46,Marowak,88%,Mud Slap,Dig,4.06,134,55,55,16%,2.9,4.4,,
421,71,Porygon,69%,Quick Attack,Psybeam,5.2,116,60,54,28%,5.2,4.5,,
432,35,Farfetch’d,100%,Cut,Leaf Blade,6.89,79,54,54,49%,6.5,7.3,,
433,48,Hitmonchan,74%,Bullet Punch,Fire Punch,4.69,114,54,54,41%,4.1,5.2,,
434,4,Butterfree,61%,Confusion,Signal Beam,5.36,98,53,53,29%,4.1,6.2,,
413,52,Chansey,100%,Pound,Psychic,3.42,181,62,51,43%,3.4,2.5,,
425,20,Venomoth,46%,Confusion,Poison Fang,4.77,121,58,51,35%,4.8,4,,
429,47,Hitmonlee,80%,Low Kick,Stomp,5.75,97,56,51,35%,5.8,5,,
437,35,Farfetch’d,94%,Fury Cutter,Leaf Blade,6.49,79,51,51,16%,4.1,7.3,,
438,46,Marowak,83%,Rock Smash,Bone Club,3.79,134,51,51,26%,1.9,6,,
439,58,Mr. Mime,58%,Confusion,Shadow Ball,5.75,88,51,51,42%,5.4,6,,
201,39,Cloyster,100%,Frost Breath,Icy Wind,12.56,110,138,50,45%,12.6,3,,
342,5,Beedrill,93%,Poison Jab,Aerial Ace,9.03,97,87,50,47%,9,3.8,,
440,48,Hitmonchan,70%,Rock Smash,Thunder Punch,4.42,114,50,50,27%,2.3,6.7,,
441,46,Marowak,81%,Rock Smash,Dig,3.73,134,50,50,13%,1.9,4.4,,
442,46,Marowak,81%,Rock Smash,Earthquake,3.73,134,50,50,34%,1.9,7.9,,
443,58,Mr. Mime,56%,Confusion,Psybeam,5.48,88,48,48,29%,5.4,5.5,,
444,48,Hitmonchan,66%,Rock Smash,Ice Punch,4.15,114,47,47,23%,2.3,5.5,,
399,8,Fearow,100%,Steel Wing,Twister,6.58,108,71,46,61%,6.6,2.8,,
235,56,Seaking,99%,Poison Jab,Icy Wind,8.52,144,122,45,43%,8.5,2.1,,
353,5,Beedrill,92%,Bug Bite,Aerial Ace,8.85,97,86,45,32%,8.8,3.8,,
447,52,Chansey,71%,Zen Headbutt,Psychic,2.44,181,44,44,79%,2.4,2.5,,
450,47,Hitmonlee,63%,Rock Smash,Low Sweep,4.51,97,44,44,22%,2.4,6,,
451,63,Pinsir,38%,Rock Smash,Vice Grip,3.24,135,44,44,27%,2.4,3.8,,
269,60,Jynx,100%,Frost Breath,Draining Kiss,11.12,100,111,43,48%,11.1,2.8,,
452,48,Hitmonchan,60%,Rock Smash,Fire Punch,3.8,114,43,43,29%,2.3,5.2,,
453,47,Hitmonlee,61%,Rock Smash,Stone Edge,4.42,97,43,43,40%,2.4,9.7,,
369,21,Dugtrio,100%,Mud Shot,Mud Bomb,14.26,57,81,42,45%,14.3,5.3,,
407,39,Cloyster,49%,Ice Shard,Icy Wind,6.09,110,67,40,36%,6.1,3,,
435,35,Farfetch’d,95%,Cut,Aerial Ace,6.51,79,51,40,36%,6.5,4.5,,
449,52,Chansey,71%,Zen Headbutt,Dazzling Gleam,2.43,181,44,40,81%,2.4,1.6,,
436,35,Farfetch’d,95%,Cut,Air Cutter,6.51,79,51,39,32%,6.5,4.4,,
448,52,Chansey,71%,Zen Headbutt,Psybeam,2.43,181,44,39,83%,2.4,1.3,,
403,8,Fearow,98%,Peck,Twister,6.43,108,69,38,36%,6.4,2.8,,
454,47,Hitmonlee,54%,Rock Smash,Stomp,3.92,97,38,38,27%,2.4,5,,
420,7,Raticate,82%,Bite,Dig,6.45,93,60,37,18%,6.4,3.7,,
446,7,Raticate,62%,Quick Attack,Dig,4.89,93,46,37,26%,4.9,3.7,,
455,21,Dugtrio,46%,Sucker Punch,Stone Edge,6.54,57,37,37,60%,5.4,9.7,,
336,60,Jynx,81%,Pound,Draining Kiss,9.05,100,90,36,35%,9.1,2.8,,
378,56,Seaking,61%,Peck,Icy Wind,5.26,144,75,36,26%,5.3,2.1,,
456,21,Dugtrio,44%,Sucker Punch,Earthquake,6.34,57,36,36,57%,5.4,8.3,,
457,35,Farfetch’d,65%,Fury Cutter,Aerial Ace,4.48,79,35,35,9%,4.1,4.5,,
458,41,Onix,100%,Tackle,Stone Edge,4.77,74,35,35,55%,3.7,7.6,,
459,35,Farfetch’d,64%,Fury Cutter,Air Cutter,4.42,79,35,35,8%,4.1,4.4,,
460,41,Onix,99%,Rock Throw,Stone Edge,4.74,74,35,35,58%,3.7,7.6,,
461,41,Onix,93%,Tackle,Iron Head,4.42,74,33,33,44%,3.7,5.3,,
415,52,Chansey,100%,Pound,Dazzling Gleam,3.42,181,62,32,21%,3.4,1.6,,
462,41,Onix,92%,Rock Throw,Iron Head,4.41,74,32,32,46%,3.7,5.3,,
463,21,Dugtrio,38%,Sucker Punch,Mud Bomb,5.38,57,30,30,38%,5.4,5.3,,
464,41,Onix,87%,Tackle,Rock Slide,4.13,74,30,30,36%,3.7,4.4,,
465,41,Onix,87%,Rock Throw,Rock Slide,4.13,74,30,30,38%,3.7,4.4,,
445,67,Ditto,100%,Pound,Struggle,7.61,62,47,27,41%,7.6,3.4,,
414,52,Chansey,100%,Pound,Psybeam,3.42,181,62,26,12%,3.4,1.3,,
